,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max
10,444,686,3596,4,16,0,190,1.5160320641282563,1238,47,713,437,272,98,70,51,24,9,5,13,1238,47,713,437,272,98,70,51,24,9,5,93,1437,870,404,483,132,1656,0,144,105,0.03670745272525028,3,2001-09-21 01:01:11,1001034071,4,11
11,511,558,3784,4,16,0,125,1.19625468164794,1180,3,666,384,238,85,65,15,16,13,5,10,1180,3,666,384,238,85,65,15,16,13,5,125,1283,838,299,889,266,1753,0,135,77,0.07029598308668078,4,2001-09-21 01:06:11,1001034371,4,11
12,499,881,5020,4,19,0,202,1.24120082815735,1687,3,1017,429,458,97,50,68,16,24,4,14,1687,3,1017,429,458,97,50,68,16,24,4,159,1954,1263,286,1062,59,1573,0,258,79,0.011752988047808765,5,2001-09-21 01:11:11,1001034671,4,13
13,593,841,5653,4,20,0,270,1.1397295556986478,1919,4,1493,586,380,104,95,38,9,24,0,16,1919,4,1493,586,380,104,95,38,9,24,0,121,2289,1468,511,956,133,1862,0,208,101,0.02352733062090925,2,2001-09-21 01:16:11,1001034971,4,10
14,768,1018,7807,4,18,0,185,1.2379851362510321,2162,4,2082,1042,277,234,118,72,24,31,7,11,2162,4,2082,1042,277,234,118,72,24,31,7,149,3645,1638,438,1556,142,2382,0,208,169,0.01817716333845366,3,2001-09-21 01:21:11,1001035271,4,11
15,1056,948,7149,5,18,0,334,1.2806674951180543,2587,50,1382,678,516,137,110,71,20,37,25,13,2587,50,1382,678,516,137,110,71,20,37,25,273,2705,1778,543,1405,243,2621,2,302,111,0.03399076793957197,4,2001-09-21 01:26:11,1001035571,5,13
16,611,853,4055,2,19,0,242,1.4240631163708086,1617,12,765,480,279,144,63,52,41,52,23,16,1617,12,765,480,279,144,63,52,41,52,23,200,1644,1040,423,450,114,1892,0,204,139,0.0281134401972873,4,2001-09-21 01:31:11,1001035871,2,15
17,1049,1532,7190,5,16,0,245,1.9721040993366217,1429,16,2031,586,638,494,359,108,28,52,121,12,1429,16,2031,586,638,494,359,108,28,52,121,144,4222,883,385,1283,263,2055,2,260,291,0.036578581363004174,3,2001-09-21 01:36:11,1001036171,5,12
18,882,589,5490,6,18,0,159,1.4316179879462216,1360,0,1607,511,349,275,58,57,38,29,30,9,1360,0,1607,511,349,275,58,57,38,29,30,215,2617,887,436,1096,68,1647,0,378,114,0.012168933428775949,2,2001-09-21 01:41:11,1001036471,6,12
19,687,718,3911,8,17,0,278,1.3743799241318937,1364,1,792,582,334,231,42,16,23,31,10,13,1364,1,792,582,334,231,42,16,23,31,10,177,1845,819,308,437,70,1674,0,246,133,0.017708069820389586,4,2001-09-21 01:46:11,1001036771,8,12
20,746,1172,6523,4,14,0,260,1.1915545717691132,2861,17,1235,805,504,208,49,54,78,34,28,10,2861,17,1235,805,504,208,49,54,78,34,28,255,2293,2194,871,384,34,2201,1,318,165,0.005212325617047371,1,2001-09-21 01:51:11,1001037071,4,11
21,685,991,4573,5,12,0,191,1.3418107833163784,1677,2,836,591,380,286,72,48,19,16,5,10,1677,2,836,591,380,286,72,48,19,16,5,221,1875,1137,508,534,45,1731,0,425,159,0.009836065573770493,2,2001-09-21 01:56:11,1001037371,5,10
22,448,406,2650,3,13,0,135,1.2707964601769912,942,0,540,383,184,109,54,36,7,2,3,9,942,0,540,383,184,109,54,36,7,2,3,92,1180,666,187,352,58,1338,0,286,49,0.021886792452830192,3,2001-09-21 02:01:11,1001037671,3,9
23,697,433,4530,3,11,0,188,1.1613715004718466,1243,0,876,556,357,116,23,4,2,2,0,8,1243,0,876,556,357,116,23,4,2,2,0,110,1748,883,250,1296,58,1325,0,213,168,0.012803532008830023,2,2001-09-21 02:06:11,1001037971,3,9
24,987,768,4316,3,16,0,218,1.5396332863187587,1177,3,1004,700,259,107,127,71,61,19,9,14,1177,3,1004,700,259,107,127,71,61,19,9,122,2130,769,306,718,107,1706,0,298,110,0.02479147358665431,3,2001-09-21 02:11:11,1001038271,3,10
25,792,887,4260,5,18,0,223,1.5500413564929694,1325,3,905,645,243,229,100,70,54,27,24,11,1325,3,905,645,243,229,100,70,54,27,24,216,1940,798,450,557,101,1960,0,167,223,0.023708920187793428,2,2001-09-21 02:16:11,1001038571,5,12
26,636,727,4117,6,19,0,155,1.4479133482000637,1225,0,725,448,329,270,62,40,23,11,5,13,1225,0,725,448,329,270,62,40,23,11,5,173,1714,835,262,955,80,1619,2,289,187,0.019431624969638087,3,2001-09-21 02:21:11,1001038871,6,13
27,453,836,3631,5,15,0,143,1.48347943358058,1166,0,652,618,227,95,76,47,38,7,5,14,1166,0,652,618,227,95,76,47,38,7,5,162,1456,814,391,640,73,1514,2,386,101,0.020104654365188653,3,2001-09-21 02:26:11,1001039171,5,10
28,524,566,3024,3,17,0,169,1.3859060402684564,1121,2,548,561,256,90,36,7,8,3,1,12,1121,2,548,561,256,90,36,7,8,3,1,97,1405,788,223,333,44,1289,0,172,140,0.01455026455026455,3,2001-09-21 02:31:11,1001039471,3,10
29,465,865,3701,3,21,0,175,1.3085642317380353,1205,0,811,677,186,181,80,19,8,1,0,18,1205,0,811,677,186,181,80,19,8,1,0,208,1299,733,761,336,29,1286,0,167,141,0.007835720075655228,2,2001-09-21 02:36:11,1001039771,3,10
30,2194,1001,7296,4,20,0,438,1.4823146137139311,2040,2,1824,1422,694,203,85,75,22,10,3,17,2040,2,1824,1422,694,203,85,75,22,10,3,180,3788,1351,689,788,44,1645,0,419,480,0.006030701754385965,2,2001-09-21 02:41:11,1001040071,4,14
31,1771,1327,34569,4,21,0,706,1.5677250218467813,2295,22,1802,1218,885,227,169,87,69,30,33,18,2295,22,1802,1218,885,227,169,87,69,30,33,227,3886,1253,794,27608,865,8651,10,961,391,0.02502241893025544,3,2001-09-21 02:46:11,1001040371,4,11
32,915,996,4916,5,16,0,346,1.5618591934381407,1392,0,1169,800,469,333,144,25,26,16,4,13,1392,0,1169,800,469,333,144,25,26,16,4,176,2598,809,460,475,0,1616,1,280,89,0.0,0,2001-09-21 02:51:11,1001040671,5,11
33,881,863,4825,3,21,0,180,1.472897196261682,1436,4,1135,955,414,127,44,31,94,17,11,18,1436,4,1135,955,414,127,44,31,94,17,11,301,2457,860,482,472,0,1521,0,295,170,0.0,0,2001-09-21 02:56:11,1001040971,3,10
34,884,1624,5416,5,16,0,140,1.6451146457343524,1247,0,1275,1248,600,164,181,99,5,12,5,13,1247,0,1275,1248,600,164,181,99,5,12,5,180,2494,868,1159,445,0,1532,0,410,122,0.0,0,2001-09-21 03:01:11,1001041271,5,12
35,1270,428,5015,5,14,0,276,1.4708131531990822,1538,0,921,428,472,308,223,16,9,4,3,12,1538,0,921,428,472,308,223,16,9,4,3,179,2092,988,388,1065,0,1374,0,203,109,0.0,0,2001-09-21 03:06:11,1001041571,5,10
36,788,2202,5636,5,14,0,292,1.772514619883041,1636,0,1031,884,869,289,137,154,125,1,3,12,1636,0,1031,884,869,289,137,154,125,1,3,179,2464,1059,1136,437,0,1779,0,475,134,0.0,0,2001-09-21 03:11:11,1001041871,5,11
37,731,371,2916,8,12,0,176,1.2585874179853338,1016,0,766,350,242,125,48,12,6,19,7,9,1016,0,766,350,242,125,48,12,6,19,7,176,1315,623,301,300,0,1430,0,247,97,0.0,0,2001-09-21 03:16:11,1001042171,6,10
38,1976,1139,6135,3,19,0,215,1.803070407623081,1719,5,1338,1240,651,189,143,114,43,184,6,18,1719,5,1338,1240,651,189,143,114,43,184,6,406,3198,974,874,436,0,1802,0,322,503,0.0,0,2001-09-21 03:21:11,1001042471,3,11
39,1378,1573,6813,2,16,0,295,1.456,2308,19,1084,1524,994,177,30,25,36,9,17,13,2308,19,1084,1524,994,177,30,25,36,9,17,211,3419,1674,651,509,0,1702,0,394,445,0.0,0,2001-09-21 03:26:11,1001042771,2,12
40,1040,902,4341,3,16,0,284,1.4050537903427571,1606,4,741,562,891,84,54,11,18,11,9,13,1606,4,741,562,891,84,54,11,18,11,9,183,2079,1065,386,308,0,1442,7,285,241,0.0,0,2001-09-21 03:31:11,1001043071,3,13
41,565,528,3260,5,19,0,198,1.0648006134969326,1073,0,812,395,212,78,21,9,5,2,0,17,1073,0,812,395,212,78,21,9,5,2,0,87,1323,724,276,632,0,1286,48,211,89,0.0,0,2001-09-21 03:36:11,1001043371,5,14
42,472,562,4538,6,18,0,191,1.4050907121581369,978,26,1814,349,240,136,49,14,18,26,6,17,978,26,1814,349,240,136,49,14,18,26,6,137,2384,597,384,819,0,1650,8,306,113,0.0,0,2001-09-21 03:41:11,1001043671,6,12
43,583,703,7977,6,18,0,499,0.8377565463552725,3123,0,1488,507,237,144,60,41,18,32,2,9,3123,0,1488,507,237,144,60,41,18,32,2,158,2156,2397,442,2276,0,2214,8,285,72,0.0,0,2001-09-21 03:46:11,1001043971,6,14
44,704,835,3795,7,12,0,244,1.2365983721582936,1371,0,1042,558,297,194,67,10,7,16,1,9,1371,0,1042,558,297,194,67,10,7,16,1,179,1760,878,502,209,0,1334,0,275,77,0.0,0,2001-09-21 03:51:11,1001044271,7,12
45,858,800,4348,4,17,0,192,1.3770634231103391,1257,3,1013,674,215,91,78,58,12,16,6,13,1257,3,1013,674,215,91,78,58,12,16,6,115,1914,849,383,753,0,1431,0,166,61,0.0,0,2001-09-21 03:56:11,1001044571,3,10
46,755,1277,5788,4,19,0,615,1.3881076737645641,2025,24,1326,722,452,155,91,53,41,29,17,12,2025,24,1326,722,452,155,91,53,41,29,17,259,2464,922,718,615,0,1811,0,193,115,0.0,0,2001-09-21 04:01:11,1001044871,4,12
47,986,826,4403,4,17,0,249,1.4249037227214378,1455,1,841,703,555,168,108,37,23,3,1,10,1455,1,841,703,555,168,108,37,23,3,1,216,2088,865,477,471,0,1422,0,388,128,0.0,0,2001-09-21 04:06:11,1001045171,2,11
48,1668,1302,6686,6,17,0,238,1.7406804198335144,1707,4,1329,898,631,658,152,51,43,13,7,14,1707,4,1329,898,631,658,152,51,43,13,7,158,3311,1186,633,1071,0,1828,0,457,116,0.0,0,2001-09-21 04:11:11,1001045471,6,11
49,1357,1949,8453,8,16,0,430,1.5920729061189065,2302,0,1587,1387,832,371,173,163,51,16,9,14,2302,0,1587,1387,832,371,173,163,51,16,9,216,3674,1470,1123,1376,0,2484,0,363,164,0.0,0,2001-09-21 04:16:11,1001045771,6,10
50,1680,2218,11530,8,17,0,514,1.5272727272727271,2527,6,2423,1641,921,401,124,79,115,22,24,13,2527,6,2423,1641,921,401,124,79,115,22,24,352,5071,1457,911,3117,0,3323,1,301,192,0.0,0,2001-09-21 04:21:11,1001046071,3,10
51,792,1172,6448,4,17,0,1030,1.2432476144266538,1987,0,2361,1017,452,207,53,40,14,21,10,14,1987,0,2361,1017,452,207,53,40,14,21,10,135,3901,774,343,248,0,2033,1,186,123,0.0,0,2001-09-21 04:26:11,1001046371,4,14
52,2416,1593,9859,5,16,0,1032,1.3199155028752494,2011,5,3664,1992,422,241,56,40,28,16,23,13,2011,5,3664,1992,422,241,56,40,28,16,23,286,6220,642,341,1322,0,2727,0,178,176,0.0,0,2001-09-21 04:31:11,1001046671,5,11
53,4145,1765,27075,4,21,0,2390,1.455974025974026,6057,15,2588,3160,2123,959,200,139,52,41,50,13,6057,15,2588,3160,2123,959,200,139,52,41,50,199,8803,3352,656,11530,0,4613,0,742,201,0.0,0,2001-09-21 04:36:11,1001046971,4,11
54,3831,8402,28922,4,21,0,2269,1.4732005026027644,11328,11,4164,6541,2167,2342,351,789,56,48,50,13,11328,11,4164,6541,2167,2342,351,789,56,48,50,364,15741,8563,918,840,0,5771,0,745,189,0.0,0,2001-09-21 04:41:11,1001047271,4,11
55,1100,1905,7991,4,18,0,552,1.3340918217106144,3556,9,1380,748,1005,408,182,39,65,36,20,17,3556,9,1380,748,1005,408,182,39,65,36,20,305,3074,2599,941,379,0,2035,4,276,117,0.0,0,2001-09-21 04:46:11,1001047571,4,9
56,858,743,6487,5,18,0,500,0.95449337043706,3696,5,1107,485,401,116,106,69,34,39,14,14,3696,5,1107,485,401,116,106,69,34,39,14,137,2025,2934,513,274,0,1751,4,199,108,0.0,0,2001-09-21 04:51:11,1001047871,5,11
57,1181,883,6304,3,15,0,307,1.6827599687255668,1860,16,1422,618,422,275,76,130,195,67,18,13,1860,16,1422,618,422,275,76,130,195,67,18,144,2834,1335,496,1103,0,1804,0,168,152,0.0,0,2001-09-21 04:56:11,1001048171,3,11
58,1961,1972,8352,3,16,0,468,1.6695652173913045,2522,17,1723,1975,454,389,166,176,205,35,6,14,2522,17,1723,1975,454,389,166,176,205,35,6,415,4397,1444,981,626,0,1693,0,211,399,0.0,0,2001-09-21 05:01:11,1001048471,3,12
59,1412,1135,6068,4,14,0,367,1.364364177992925,2046,6,1232,1057,611,227,72,56,31,31,1,11,2046,6,1232,1057,611,227,72,56,31,31,1,357,2660,1209,778,432,0,1591,1,324,162,0.0,0,2001-09-21 05:06:11,1001048771,4,11
60,1401,1749,7349,4,16,0,191,1.7540623627580147,2302,6,1575,1083,1013,180,57,390,31,170,22,11,2302,6,1575,1083,1013,180,57,390,31,170,22,385,3821,1503,931,480,0,2188,0,395,288,0.0,0,2001-09-21 05:11:11,1001049071,4,11
61,886,1655,5762,3,15,0,248,1.6392578125,1667,3,1521,794,562,136,63,119,125,79,39,13,1667,3,1521,794,562,136,63,119,125,79,39,256,2689,1082,845,577,0,1987,0,309,281,0.0,0,2001-09-21 05:16:11,1001049371,3,10
62,1038,1391,4939,5,16,0,254,2.3793103448275863,1261,13,871,611,570,193,205,196,219,111,69,17,1261,13,871,611,570,193,205,196,219,111,69,173,2341,771,811,560,0,1270,0,235,187,0.0,0,2001-09-21 05:21:11,1001049671,5,9
63,877,1228,6099,3,16,0,546,1.36271053662358,2058,0,1137,761,754,182,62,99,26,20,7,9,2058,0,1137,761,754,182,62,99,26,20,7,309,2617,1042,592,870,0,1833,6,303,167,0.0,0,2001-09-21 05:26:11,1001049971,3,10
64,783,1119,5219,4,12,0,445,1.1831330209818702,1992,2,1471,742,330,208,41,75,33,10,5,10,1992,2,1471,742,330,208,41,75,33,10,5,214,2555,1255,440,234,0,1658,24,267,317,0.0,0,2001-09-21 05:31:11,1001050271,4,9
65,1996,1575,10427,6,16,0,653,1.3665587141657671,3101,5,2290,1395,763,402,82,226,12,39,19,11,3101,5,2290,1395,763,402,82,226,12,39,19,267,4778,1903,736,2005,0,2816,28,353,162,0.0,0,2001-09-21 05:36:11,1001050571,5,11
66,7642,3927,73340,5,22,0,432,1.9039578732801088,3454,38,9784,8643,4417,1760,596,307,251,93,44,14,3454,38,9784,8643,4417,1760,596,307,251,93,44,1300,20006,1480,6217,14969,209,19850,48,1782,160,0.002849313574457063,2,2001-09-21 05:41:11,1001050871,5,12
67,2237,4972,15594,2,17,0,292,1.985032258064516,1872,30,3240,2293,3124,595,192,114,58,29,12,13,1872,30,3240,2293,3124,595,192,114,58,29,12,284,9335,1183,531,3946,267,4282,35,464,153,0.017115384615384616,2,2001-09-21 05:46:11,1001051171,2,11
68,1238,1626,6083,7,16,0,326,1.7089687726942628,1715,18,1245,1080,759,368,120,110,20,47,8,14,1715,18,1245,1080,759,368,120,110,20,47,8,361,2933,907,981,497,2,1698,3,376,131,0.00032862306933946765,1,2001-09-21 05:51:11,1001051471,7,11
69,838,986,4687,7,15,0,276,1.60975,1390,6,963,611,539,226,65,106,70,9,9,12,1390,6,963,611,539,226,65,106,70,9,9,210,2234,731,549,624,20,1525,0,334,143,0.004267121826328142,1,2001-09-21 05:56:11,1001051771,4,11
70,1204,916,4763,5,15,0,133,1.62332838038633,1378,4,884,760,565,191,54,89,77,19,15,11,1378,4,884,760,565,191,54,89,77,19,15,196,2336,936,437,692,10,1770,17,221,79,0.0020995171110644553,3,2001-09-21 06:01:11,1001052071,5,10
71,1403,1250,30658,2,17,0,648,1.611439114391144,2020,8,1176,878,600,358,88,118,103,50,9,13,2020,8,1176,878,600,358,88,118,103,50,9,219,2757,1044,752,25118,1739,10557,22,898,82,0.05671515230578567,3,2001-09-21 06:06:11,1001052371,2,11
72,2767,1044,84770,4,26,0,2326,1.4797707736389685,3734,15,1279,1948,759,421,162,164,194,22,6,13,3734,15,1279,1948,759,421,162,164,194,22,6,230,4720,1065,384,75999,2010,27818,67,2265,78,0.02370870144729237,2,2001-09-21 06:11:11,1001052671,4,11
73,1078,1075,5201,6,14,0,298,1.3276178812002453,1860,1,1384,741,523,163,77,39,103,5,3,10,1860,1,1384,741,523,163,77,39,103,5,3,225,2553,1204,619,255,0,1587,0,413,161,0.0,0,2001-09-21 06:16:11,1001052971,6,11
74,912,1609,5075,3,17,0,341,1.7057613168724284,1542,7,1154,723,773,358,110,105,53,18,7,12,1542,7,1154,723,773,358,110,105,53,18,7,340,2938,726,515,171,0,1615,4,501,97,0.0,0,2001-09-21 06:21:11,1001053271,3,10
75,700,712,3433,6,24,0,234,1.5026570803376056,1142,4,919,456,257,217,84,66,31,7,2,20,1142,4,919,456,257,217,84,66,31,7,2,125,1772,709,359,216,0,1256,0,282,158,0.0,0,2001-09-21 06:26:11,1001053571,4,10
76,1563,1409,9204,2,16,0,943,1.1000827129859387,3651,6,1829,646,596,198,102,126,27,23,4,16,3651,6,1829,646,596,198,102,126,27,23,4,421,3181,2125,584,1907,0,2019,0,369,109,0.0,0,2001-09-21 06:31:11,1001053871,2,12
77,1192,1257,5700,5,15,0,357,1.6130007558578987,1854,12,1197,956,546,327,253,48,28,49,12,12,1854,12,1197,956,546,327,253,48,28,49,12,289,2820,1063,763,353,1,2213,0,269,83,0.00017543859649122806,1,2001-09-21 06:36:11,1001054171,5,13
78,1562,1716,112515,4,26,0,99948,0.10020360415066708,107464,12,1667,1016,904,394,252,171,49,28,11,12,107464,12,1667,1016,904,394,252,171,49,28,11,298,4034,7124,578,464,1219,37117,80,3030,226,0.010832570580551136,2,2001-09-21 06:41:11,1001054471,4,10
79,1894,2176,8385,4,16,0,421,1.6003661566627436,2135,3,2301,1331,1165,276,157,177,50,36,10,12,2135,3,2301,1331,1165,276,157,177,50,36,10,248,4853,1333,792,628,19,2604,0,322,185,0.002265410754739477,1,2001-09-21 06:46:11,1001054771,4,10
80,1712,1264,7638,5,16,0,647,1.5273360593669545,2421,3,1498,1113,720,444,159,152,78,8,1,12,2421,3,1498,1113,720,444,159,152,78,8,1,205,3377,1343,1031,962,1,2211,0,286,198,0.00013092432573972245,1,2001-09-21 06:51:11,1001055071,5,14
81,1252,1922,6552,4,17,0,388,1.787659094570646,2029,1,1432,1005,693,361,225,302,111,31,14,11,2029,1,1432,1005,693,361,225,302,111,31,14,362,2999,1064,1394,185,2,1997,0,358,127,0.00030525030525030525,1,2001-09-21 06:56:11,1001055371,4,12
82,659,739,3881,4,13,0,320,1.4718688153802657,1426,0,601,767,388,130,104,38,43,22,18,9,1426,0,601,767,388,130,104,38,43,22,18,256,1796,728,437,322,4,1619,0,151,61,0.001030662200463798,1,2001-09-21 07:01:11,1001055671,4,10
83,981,968,4274,5,20,0,283,1.8389502762430936,1215,13,668,499,677,214,153,95,63,9,14,10,1215,13,668,499,677,214,153,95,63,9,14,209,2066,611,451,603,3,1573,0,216,84,0.0007019185774450162,1,2001-09-21 07:06:11,1001055971,5,12
84,1145,922,5272,4,20,0,578,1.5393820713664057,2005,46,798,549,734,189,117,39,61,27,25,13,2005,46,798,549,734,189,117,39,61,27,25,244,2114,1072,588,574,5,1946,12,336,91,0.0009484066767830047,1,2001-09-21 07:11:11,1001056271,4,13
85,847,1008,4867,5,25,0,248,1.5350140056022408,1588,0,861,788,613,220,96,60,24,17,3,23,1588,0,861,788,613,220,96,60,24,17,3,280,2246,955,555,519,2,1712,11,311,58,0.00041042478965729534,1,2001-09-21 07:16:11,1001056571,5,10
86,1692,1542,7597,3,26,0,425,1.6337755666113876,2647,38,1529,924,1332,477,134,44,13,14,22,22,2647,38,1529,924,1332,477,134,44,13,14,22,327,3750,1796,938,300,2,2034,0,501,94,0.0002632618138738976,1,2001-09-21 07:21:11,1001056871,3,10
87,786,916,4725,4,14,0,363,1.206367384333486,1989,0,964,766,204,199,165,36,29,7,7,9,1989,0,964,766,204,199,165,36,29,7,7,242,2092,1238,431,318,0,1780,21,461,137,0.0,0,2001-09-21 07:26:11,1001057171,4,11
88,1271,1578,6940,2,16,0,731,1.4626743232157506,2549,0,1176,1091,717,207,100,63,124,23,10,20,2549,0,1176,1091,717,207,100,63,124,23,10,260,3101,1313,690,701,2,2247,0,437,159,0.00028818443804034583,1,2001-09-21 07:31:11,1001057471,2,12
89,1195,1249,6687,4,16,0,309,1.5277676287906468,2352,30,1101,824,661,128,116,80,52,23,12,17,2352,30,1101,824,661,128,116,80,52,23,12,227,2836,1559,543,1156,7,2163,9,428,172,0.0010468072379243307,2,2001-09-21 07:36:11,1001057771,4,11
90,1694,1901,7550,9,17,0,373,1.721038521236066,2427,4,1582,1162,870,310,269,265,135,50,11,11,2427,4,1582,1162,870,310,269,265,135,50,11,274,3746,1585,1109,285,4,2314,0,364,121,0.0005298013245033114,1,2001-09-21 07:41:11,1001058071,7,10
91,788,1100,4484,3,13,0,312,1.5410113718848295,1527,1,843,652,733,148,85,77,30,27,1,11,1527,1,843,652,733,148,85,77,30,27,1,198,2082,899,642,311,2,1718,2,305,125,0.00044603033006244426,1,2001-09-21 07:46:11,1001058371,3,10
92,1029,998,5660,4,14,0,371,1.2981625307823452,2120,2,1237,876,683,202,67,47,18,17,1,11,2120,2,1237,876,683,202,67,47,18,17,1,296,2720,1322,570,343,0,1940,0,339,137,0.0,0,2001-09-21 07:51:11,1001058671,3,11
93,826,949,3764,2,15,0,195,1.8834039975772257,985,3,817,552,545,111,49,23,39,73,103,11,985,3,817,552,545,111,49,23,39,73,103,176,2041,548,342,433,0,1380,1,177,61,0.0,0,2001-09-21 07:56:11,1001058971,2,11
94,1211,980,5995,3,13,0,272,1.299760633400847,2150,3,1291,903,742,155,114,35,10,19,8,12,2150,3,1291,903,742,155,114,35,10,19,8,180,3046,1628,305,529,2,1896,18,339,137,0.00033361134278565467,1,2001-09-21 08:01:11,1001059271,3,11
95,1311,941,5772,10,15,0,278,1.4718323399346285,1966,4,1268,871,500,197,174,144,48,17,11,12,1966,4,1268,871,500,197,174,144,48,17,11,195,2807,1326,595,513,1,1959,0,310,145,0.00017325017325017325,1,2001-09-21 08:06:11,1001059571,10,11
96,905,1384,5708,5,17,0,307,1.544848484848485,1887,3,1052,656,814,272,101,59,27,46,29,12,1887,3,1052,656,814,272,101,59,27,46,29,340,2679,1120,504,514,1,1730,24,352,168,0.0001751927119831815,1,2001-09-21 08:11:11,1001059871,5,12
97,752,906,3165,6,13,0,212,1.946264744429882,987,1,673,438,333,189,142,182,34,71,2,10,987,1,673,438,333,189,142,182,34,71,2,123,1934,582,201,84,3,1262,0,279,80,0.0009478672985781992,1,2001-09-21 08:16:11,1001060171,6,13
98,726,674,3092,4,15,0,227,1.5307532826537664,1050,5,551,477,580,114,73,23,4,14,0,12,1050,5,551,477,580,114,73,23,4,14,0,235,1617,516,299,173,2,1230,15,282,167,0.000646830530401035,1,2001-09-21 08:21:11,1001060471,4,9
99,1102,932,4746,3,18,0,275,1.2793951703904312,1581,0,1278,790,493,185,60,28,7,8,0,11,1581,0,1278,790,493,185,60,28,7,8,0,306,2337,881,632,284,1,1704,0,269,65,0.00021070375052675936,1,2001-09-21 08:26:11,1001060771,3,11
