;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_23_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_23_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
34;2619;3647;13945;4;22;0;547;1.8210697171123822;4829;3;22;5;0;0;2;0;0;0;0;2423;0;0;0;1391;1693;1063;948;236;144;112;67;15;4829;3;22;5;0;0;2;0;0;0;0;2423;0;0;0;1391;1693;1063;948;236;144;112;67;393;7354;3689;955;817;3;3814;0;427;103;0.00021505376344086021;1;2001-09-19 02:57:59;1000868279;4;11
35;2029;1733;11817;9;22;0;812;1.1571326421165535;5958;3;1;5;0;0;0;0;0;0;0;1884;0;0;0;1492;645;372;478;301;38;7;4;12;5958;3;1;5;0;0;0;0;0;0;0;1884;0;0;0;1492;645;372;478;301;38;7;4;556;4421;4384;1015;593;0;3265;0;426;140;0.0;0;2001-09-19 03:02:59;1000868579;4;12
36;2269;2105;9987;12;22;0;643;1.5374356820329729;3830;4;11;0;0;0;0;0;3;16;1;2017;0;0;0;1469;984;382;431;197;91;70;17;19;3830;4;11;0;0;0;0;0;3;16;1;2017;0;0;0;1469;984;382;431;197;91;70;17;405;4855;2576;1044;418;0;3483;0;407;162;0.0;0;2001-09-19 03:07:59;1000868879;5;10
37;2394;2498;11753;2;21;0;582;1.6221912720519962;4432;2;93;38;0;0;0;0;0;0;0;2038;0;0;0;1640;1136;623;252;267;159;31;59;12;4432;2;93;38;0;0;0;0;0;0;0;2038;0;0;0;1640;1136;623;252;267;159;31;59;663;4979;2846;1700;798;0;3365;0;416;160;0.0;0;2001-09-19 03:12:59;1000869179;2;11
38;4187;2600;16300;4;19;0;698;1.8625696101829754;5831;31;161;82;27;0;0;0;0;0;0;3259;0;0;0;1746;1115;1002;1116;313;229;34;138;13;5831;31;161;82;27;0;0;0;0;0;0;3259;0;0;0;1746;1115;1002;1116;313;229;34;138;491;8240;4315;1340;1152;25;3984;0;616;216;0.0015337423312883436;2;2001-09-19 03:17:59;1000869479;4;9
39;909;704;4398;12;21;0;257;1.2169900615238998;2003;0;0;0;0;0;0;0;0;0;0;802;0;0;0;703;340;169;85;86;14;16;8;9;2003;0;0;0;0;0;0;0;0;0;0;802;0;0;0;703;340;169;85;86;14;16;8;172;1925;1471;401;120;0;1660;0;306;59;0.0;0;2001-09-19 03:22:59;1000869779;7;10
40;2147;1825;9892;10;15;0;737;1.5918367346938775;3989;10;14;1;0;0;0;0;0;0;0;1774;0;0;0;1197;586;518;690;256;75;29;73;12;3989;10;14;1;0;0;0;0;0;0;0;1774;0;0;0;1197;586;518;690;256;75;29;73;441;4616;2564;854;566;0;2841;0;414;223;0.0;0;2001-09-19 03:27:59;1000870079;5;10
41;2694;3004;12099;2;18;0;568;1.7836909871244635;4305;17;11;2;0;0;0;0;0;0;0;2413;0;0;0;1773;1086;764;567;261;111;46;294;12;4305;17;11;2;0;0;0;0;0;0;0;2413;0;0;0;1773;1086;764;567;261;111;46;294;455;5846;3049;1732;324;3;3276;0;465;313;0.0002479543763947434;1;2001-09-19 03:32:59;1000870379;2;13
42;1185;1127;8839;4;21;0;353;0.7941074922315572;5282;6;0;0;0;0;0;0;0;0;0;1650;0;0;0;914;411;180;144;61;14;18;9;10;5282;6;0;0;0;0;0;0;0;0;0;1650;0;0;0;914;411;180;144;61;14;18;9;311;2903;4420;702;129;0;2193;3;250;229;0.0;0;2001-09-19 03:37:59;1000870679;4;11
43;1206;1354;10699;5;22;0;390;1.04129178899517;4852;0;6;1;0;0;0;0;0;0;0;3387;0;0;0;1185;483;166;131;168;77;82;21;12;4852;0;6;1;0;0;0;0;0;0;0;3387;0;0;0;1185;483;166;131;168;77;82;21;269;5232;4009;659;120;0;2738;15;161;140;0.0;0;2001-09-19 03:42:59;1000870979;4;10
44;1791;1565;12899;5;21;0;439;0.7942675159235669;6409;0;5;6;0;0;0;0;0;0;0;4138;0;0;0;1104;528;167;67;72;39;14;11;12;6409;0;5;6;0;0;0;0;0;0;0;4138;0;0;0;1104;528;167;67;72;39;14;11;351;5508;5379;883;295;0;2971;2;208;124;0.0;0;2001-09-19 03:47:59;1000871279;5;10
45;1342;1394;7547;5;17;0;423;1.295483326298016;3161;1;0;1;0;0;0;0;0;0;0;1600;0;0;0;1022;636;221;184;196;43;26;16;12;3161;1;0;1;0;0;0;0;0;0;0;1600;0;0;0;1022;636;221;184;196;43;26;16;378;3146;2207;953;405;3;2734;0;221;129;0.000397456279809221;1;2001-09-19 03:52:59;1000871579;3;12
46;2559;3064;13494;4;21;0;771;1.8838278674301578;4266;21;15;12;4;2;0;0;0;0;0;2488;0;0;0;1704;958;593;477;126;151;607;102;14;4266;21;15;12;4;2;0;0;0;0;0;2488;0;0;0;1704;958;593;477;126;151;607;102;396;5781;2877;1701;1844;21;3755;0;365;160;0.0015562472209871053;2;2001-09-19 03:57:59;1000871879;4;12
47;1545;1627;7168;4;21;0;471;1.603970439066802;2928;13;2;14;2;1;0;0;0;0;0;1234;0;0;0;987;934;249;129;103;124;57;124;14;2928;13;2;14;2;1;0;0;0;0;0;1234;0;0;0;987;934;249;129;103;124;57;124;505;3442;1754;729;223;0;2623;0;479;192;0.0;0;2001-09-19 04:02:59;1000872179;4;15
48;1192;1287;7096;3;15;0;536;1.236769654328541;2809;1;5;6;1;0;0;0;0;0;0;1684;0;0;0;1031;389;247;204;122;30;8;1;13;2809;1;5;6;1;0;0;0;0;0;0;1684;0;0;0;1031;389;247;204;122;30;8;1;342;3223;1761;676;469;0;2488;0;463;110;0.0;0;2001-09-19 04:07:59;1000872479;3;9
49;2110;1735;9095;3;22;0;453;1.2714598456043322;3533;1;0;1;0;0;0;0;0;0;0;2327;0;0;0;1421;599;317;222;181;41;28;8;12;3533;1;0;1;0;0;0;0;0;0;0;2327;0;0;0;1421;599;317;222;181;41;28;8;307;4620;2531;768;360;0;3012;3;482;173;0.0;0;2001-09-19 04:12:59;1000872779;3;10
50;2789;2521;12610;9;20;0;697;1.6811266074986415;4247;7;70;49;9;3;0;0;0;0;1;2533;0;0;0;1633;862;606;549;189;103;81;100;19;4247;7;70;49;9;3;0;0;0;0;1;2533;0;0;0;1633;862;606;549;189;103;81;100;354;5962;2965;1064;1512;11;3853;0;394;138;0.0008719778042013476;1;2001-09-19 04:17:59;1000873079;4;10
51;2710;3423;13005;7;19;0;908;1.7808784275661247;4634;3;22;4;0;0;0;0;0;0;0;2270;0;0;0;1751;1212;1126;770;248;203;54;66;12;4634;3;22;4;0;0;0;0;0;0;0;2270;0;0;0;1751;1212;1126;770;248;203;54;66;466;6516;2891;1582;564;3;3465;0;577;227;0.0002306805074971165;1;2001-09-19 04:22:59;1000873379;5;12
52;1714;1878;8431;4;15;0;474;1.5309297912713473;3159;15;5;4;0;0;0;0;0;0;0;1645;0;0;0;1327;808;341;218;172;118;23;70;12;3159;15;5;4;0;0;0;0;0;0;0;1645;0;0;0;1327;808;341;218;172;118;23;70;258;3959;2223;991;454;1;3002;0;384;182;0.00011860989206499822;1;2001-09-19 04:27:59;1000873679;4;11
53;1780;1667;8139;7;17;0;402;1.6031107535532314;3007;4;6;5;0;0;0;0;0;0;0;1383;0;0;0;1157;779;509;274;121;129;35;49;12;3007;4;6;5;0;0;0;0;0;0;0;1383;0;0;0;1157;779;509;274;121;129;35;49;386;3688;2019;963;577;0;2527;1;278;108;0.0;0;2001-09-19 04:32:59;1000873979;5;9
54;2996;2086;10827;2;13;0;387;1.625676197836167;3890;1;7;2;3;0;0;0;0;0;0;2319;0;0;0;1283;823;1142;674;110;69;17;12;13;3890;1;7;2;3;0;0;0;0;0;0;2319;0;0;0;1283;823;1142;674;110;69;17;12;379;5432;2926;1228;409;0;3312;0;219;178;0.0;0;2001-09-19 04:37:59;1000874279;2;11
55;1854;1785;9738;3;17;0;468;1.4463987532004898;4155;1;124;15;0;0;0;0;0;0;0;1718;0;0;0;1245;691;442;326;169;52;23;22;12;4155;1;124;15;0;0;0;0;0;0;0;1718;0;0;0;1245;691;442;326;169;52;23;22;508;3981;2910;1116;562;0;3047;0;236;101;0.0;0;2001-09-19 04:42:59;1000874579;3;12
56;2343;1931;9175;2;20;0;433;1.9275997751545813;3394;97;23;17;0;1;0;0;0;0;0;1785;0;0;0;1475;710;423;286;89;75;21;499;14;3394;97;23;17;0;1;0;0;0;0;0;1785;0;0;0;1475;710;423;286;89;75;21;499;406;4862;2348;846;250;6;3073;8;357;164;0.0006528125340006528;2;2001-09-19 04:47:59;1000874879;2;10
57;1593;1426;8848;2;18;0;547;1.0914103663766694;3549;2;2;0;0;0;0;0;0;0;0;2231;0;0;0;1338;624;194;114;39;45;16;7;11;3549;2;2;0;0;0;0;0;0;0;0;2231;0;0;0;1338;624;194;114;39;45;16;7;440;4030;2345;799;655;3;3007;0;313;214;0.0003390596745027125;1;2001-09-19 04:52:59;1000875179;2;11
58;1675;1988;7248;3;18;0;188;1.9945969626168225;2337;19;12;7;7;2;0;0;0;0;0;1269;0;0;0;991;1104;290;116;79;586;6;23;14;2337;19;12;7;7;2;0;0;0;0;0;1269;0;0;0;991;1104;290;116;79;586;6;23;388;3481;1508;1283;244;1;2106;63;324;61;0.0001379690949227373;1;2001-09-19 04:57:59;1000875479;3;11
59;1119;1558;7072;6;17;0;405;1.2573977695167287;3036;31;10;10;4;0;1;0;0;0;0;1620;0;0;0;931;608;220;92;35;54;42;31;15;3036;31;10;10;4;0;1;0;0;0;0;1620;0;0;0;931;608;220;92;35;54;42;31;319;3231;2085;685;260;3;2815;5;305;129;0.00042408821034775233;1;2001-09-19 05:02:59;1000875779;4;12
60;1660;2881;8895;8;14;0;497;2.0264677574590952;2705;10;38;8;0;0;0;0;0;0;0;1564;0;0;0;968;1056;831;865;73;131;9;54;12;2705;10;38;8;0;0;0;0;0;0;0;1564;0;0;0;968;1056;831;865;73;131;9;54;254;5073;1804;684;548;0;2742;1;221;106;0.0;0;2001-09-19 05:07:59;1000876079;5;11
61;1940;1520;9239;3;15;0;572;1.2614595210946409;3903;0;0;0;0;0;0;0;0;0;0;2041;0;0;0;1230;694;394;255;164;75;6;8;9;3903;0;0;0;0;0;0;0;0;0;0;2041;0;0;0;1230;694;394;255;164;75;6;8;314;4142;2779;963;454;0;2845;2;278;137;0.0;0;2001-09-19 05:12:59;1000876379;3;11
62;1645;1702;9707;2;17;0;1718;1.2792186292903653;4782;4;15;31;4;0;0;0;0;0;0;1469;0;0;0;1111;694;322;279;114;134;34;68;13;4782;4;15;31;4;0;0;0;0;0;0;1469;0;0;0;1111;694;322;279;114;134;34;68;243;3705;2631;764;538;0;3090;0;397;183;0.0;0;2001-09-19 05:17:59;1000876679;2;13
63;1386;1466;12308;4;17;0;402;0.9150253235790659;6197;6;2;0;0;0;0;0;0;0;0;2063;0;0;0;1107;502;358;206;142;63;8;8;11;6197;6;2;0;0;0;0;0;0;0;0;2063;0;0;0;1107;502;358;206;142;63;8;8;231;3906;5440;683;1600;3;3533;1;506;162;0.00024374390640233994;1;2001-09-19 05:22:59;1000876979;4;11
64;2144;1732;11148;4;17;0;642;1.3926949853697912;3792;25;13;1;2;1;0;0;0;0;0;2863;0;0;0;1380;749;573;210;93;125;43;41;14;3792;25;13;1;2;1;0;0;0;0;0;2863;0;0;0;1380;749;573;210;93;125;43;41;260;5590;2751;668;1196;6;3105;1;337;126;0.0005382131324004305;1;2001-09-19 05:27:59;1000877279;4;11
65;1262;1894;9371;6;15;0;515;1.0766823161189358;4485;21;1;2;0;0;0;0;0;0;0;1865;0;0;0;1367;552;377;148;59;33;25;11;12;4485;21;1;2;0;0;0;0;0;0;0;1865;0;0;0;1367;552;377;148;59;33;25;11;619;3221;2905;1686;338;3;2594;0;219;64;0.00031969309462915604;1;2001-09-19 05:32:59;1000877579;4;11
66;1931;1529;9220;8;16;0;513;1.126654950205038;3706;30;15;5;0;0;0;0;0;0;0;2266;0;0;0;1420;761;165;65;43;31;10;18;12;3706;30;15;5;0;0;0;0;0;0;0;2266;0;0;0;1420;761;165;65;43;31;10;18;426;4418;2629;549;654;6;2797;1;326;112;0.0006505475441830207;1;2001-09-19 05:37:59;1000877879;8;11
